## htsjdk.samtools.metrics.StringHeader
# picard.vcf.GenotypeConcordance TRUTH_VCF=testdata/picard/vcf/CEUTrio-snps.vcf CALL_VCF=testdata/picard/vcf/CEUTrio-snps.vcf OUTPUT=testdata/picard/vcf/CEUTrio-snps_vs_CEUTrio-snps_GtConcordanceDiff_AllRows TRUTH_SAMPLE=NA12878 CALL_SAMPLE=NA12878 OUTPUT_ALL_ROWS=true    INTERSECT_INTERVALS=true MIN_GQ=0 MIN_DP=0 USE_VCF_INDEX=false VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Oct 02 11:00:09 EDT 2014

## METRICS CLASS	picard.vcf.GenotypeConcordanceDetailMetrics
VARIANT_TYPE	TRUTH_SAMPLE	CALL_SAMPLE	TRUTH_STATE	CALL_STATE	COUNT
SNP	NA12878	NA12878	MISSING	MISSING	0
SNP	NA12878	NA12878	MISSING	HOM_REF	0
SNP	NA12878	NA12878	MISSING	HET_REF_VAR1	0
SNP	NA12878	NA12878	MISSING	HET_REF_VAR2	0
SNP	NA12878	NA12878	MISSING	HET_REF_VAR3	0
SNP	NA12878	NA12878	MISSING	HET_VAR1_VAR2	0
SNP	NA12878	NA12878	MISSING	HET_VAR1_VAR3	0
SNP	NA12878	NA12878	MISSING	HET_VAR3_VAR4	0
SNP	NA12878	NA12878	MISSING	HOM_VAR1	0
SNP	NA12878	NA12878	MISSING	HOM_VAR2	0
SNP	NA12878	NA12878	MISSING	HOM_VAR3	0
SNP	NA12878	NA12878	MISSING	NO_CALL	0
SNP	NA12878	NA12878	MISSING	LOW_GQ	0
SNP	NA12878	NA12878	MISSING	LOW_DP	0
SNP	NA12878	NA12878	MISSING	VC_FILTERED	0
SNP	NA12878	NA12878	MISSING	GT_FILTERED	0
SNP	NA12878	NA12878	MISSING	IS_MIXED	0
SNP	NA12878	NA12878	HOM_REF	MISSING	0
SNP	NA12878	NA12878	HOM_REF	HOM_REF	0
SNP	NA12878	NA12878	HOM_REF	HET_REF_VAR1	0
SNP	NA12878	NA12878	HOM_REF	HET_REF_VAR2	0
SNP	NA12878	NA12878	HOM_REF	HET_REF_VAR3	0
SNP	NA12878	NA12878	HOM_REF	HET_VAR1_VAR2	0
SNP	NA12878	NA12878	HOM_REF	HET_VAR1_VAR3	0
SNP	NA12878	NA12878	HOM_REF	HET_VAR3_VAR4	0
SNP	NA12878	NA12878	HOM_REF	HOM_VAR1	0
SNP	NA12878	NA12878	HOM_REF	HOM_VAR2	0
SNP	NA12878	NA12878	HOM_REF	HOM_VAR3	0
SNP	NA12878	NA12878	HOM_REF	NO_CALL	0
SNP	NA12878	NA12878	HOM_REF	LOW_GQ	0
SNP	NA12878	NA12878	HOM_REF	LOW_DP	0
SNP	NA12878	NA12878	HOM_REF	VC_FILTERED	0
SNP	NA12878	NA12878	HOM_REF	GT_FILTERED	0
SNP	NA12878	NA12878	HOM_REF	IS_MIXED	0
SNP	NA12878	NA12878	HET_REF_VAR1	MISSING	0
SNP	NA12878	NA12878	HET_REF_VAR1	HOM_REF	0
SNP	NA12878	NA12878	HET_REF_VAR1	HET_REF_VAR1	104
SNP	NA12878	NA12878	HET_REF_VAR1	HET_REF_VAR2	0
SNP	NA12878	NA12878	HET_REF_VAR1	HET_REF_VAR3	0
SNP	NA12878	NA12878	HET_REF_VAR1	HET_VAR1_VAR2	0
SNP	NA12878	NA12878	HET_REF_VAR1	HET_VAR1_VAR3	0
SNP	NA12878	NA12878	HET_REF_VAR1	HET_VAR3_VAR4	0
SNP	NA12878	NA12878	HET_REF_VAR1	HOM_VAR1	0
SNP	NA12878	NA12878	HET_REF_VAR1	HOM_VAR2	0
SNP	NA12878	NA12878	HET_REF_VAR1	HOM_VAR3	0
SNP	NA12878	NA12878	HET_REF_VAR1	NO_CALL	0
SNP	NA12878	NA12878	HET_REF_VAR1	LOW_GQ	0
SNP	NA12878	NA12878	HET_REF_VAR1	LOW_DP	0
SNP	NA12878	NA12878	HET_REF_VAR1	VC_FILTERED	0
SNP	NA12878	NA12878	HET_REF_VAR1	GT_FILTERED	0
SNP	NA12878	NA12878	HET_REF_VAR1	IS_MIXED	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	MISSING	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	HOM_REF	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	HET_REF_VAR1	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	HET_REF_VAR2	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	HET_REF_VAR3	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	HET_VAR1_VAR2	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	HET_VAR1_VAR3	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	HET_VAR3_VAR4	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	HOM_VAR1	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	HOM_VAR2	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	HOM_VAR3	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	NO_CALL	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	LOW_GQ	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	LOW_DP	0
SNP	NA12878	NA12878	HET_VAR1_VAR2	VC_FILTERED	0
