## htsjdk.samtools.metrics.StringHeader
# picard.vcf.GenotypeConcordance TRUTH_VCF=testdata/picard/vcf/CEUTrio-snps.vcf CALL_VCF=testdata/picard/vcf/CEUTrio-snps.vcf OUTPUT=testdata/picard/vcf/CEUTrio-snps_vs_CEUTrio-snps_GtConcordanceDiff_MinGq TRUTH_SAMPLE=NA12878 CALL_SAMPLE=NA12891 MIN_GQ=40    INTERSECT_INTERVALS=true MIN_DP=0 OUTPUT_ALL_ROWS=false USE_VCF_INDEX_PCT=25 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Sep 29 14:18:39 EDT 2014

## METRICS CLASS	picard.vcf.GenotypeConcordanceDetailMetrics
EVENT_TYPE	TRUTH_SAMPLE	CALL_SAMPLE	TRUTH_STATE	CALL_STATE	ALT_ALLELES_AGREE	COUNT
SNP	NA12878	NA12891	HomRef	Het	Y	30
SNP	NA12878	NA12891	Het	HomRef	Y	30
SNP	NA12878	NA12891	Het	Het	Y	50
SNP	NA12878	NA12891	Het	HomVar	Y	23
SNP	NA12878	NA12891	Het	LowGq	Y	1
SNP	NA12878	NA12891	HomVar	Het	Y	17
SNP	NA12878	NA12891	HomVar	HomVar	Y	40
SNP	NA12878	NA12891	HomVar	LowGq	Y	1
SNP	NA12878	NA12891	FilteredVariant	FilteredVariant	Y	49
SNP	NA12878	NA12891	LowGq	Het	Y	1
SNP	NA12878	NA12891	LowGq	LowGq	Y	1


