## htsjdk.samtools.metrics.StringHeader
# picard.vcf.GenotypeConcordance TRUTH_VCF=testdata/picard/vcf/CEUTrio-snps.vcf CALL_VCF=testdata/picard/vcf/CEUTrio-snps.vcf OUTPUT=testdata/picard/vcf/CEUTrio-snps_vs_CEUTrio-snps_GtConcordanceDiff_AllRows DEBUG_VARIANT_METRICS_FILE=testdata/picard/vcf/CEUTrio-snps_vs_CEUTrio-snps_GtConcordanceDiff_AllRows.variant_metrics.txt TRUTH_SAMPLE=NA12878 CALL_SAMPLE=NA12878 OUTPUT_ALL_ROWS=true    INTERSECT_INTERVALS=true MIN_GQ=0 MIN_DP=0 USE_VCF_INDEX_PCT=25 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Fri Sep 12 12:00:56 EDT 2014

## METRICS CLASS	picard.vcf.GenotypeConcordance$GenotypeConcordanceVariantTypeDetailsMetrics
TRUTH_SAMPLE	CALL_SAMPLE	TRUTH_TYPE	CALL_TYPE	COUNT
NA12878	NA12878	NO_VARIATION	NO_VARIATION	72
NA12878	NA12878	NO_VARIATION	SNP	0
NA12878	NA12878	NO_VARIATION	MNP	0
NA12878	NA12878	NO_VARIATION	INDEL	0
NA12878	NA12878	NO_VARIATION	SYMBOLIC	0
NA12878	NA12878	NO_VARIATION	MIXED	0
NA12878	NA12878	SNP	NO_VARIATION	0
NA12878	NA12878	SNP	SNP	203
NA12878	NA12878	SNP	MNP	0
NA12878	NA12878	SNP	INDEL	0
NA12878	NA12878	SNP	SYMBOLIC	0
NA12878	NA12878	SNP	MIXED	0
NA12878	NA12878	MNP	NO_VARIATION	0
NA12878	NA12878	MNP	SNP	0
NA12878	NA12878	MNP	MNP	0
NA12878	NA12878	MNP	INDEL	0
NA12878	NA12878	MNP	SYMBOLIC	0
NA12878	NA12878	MNP	MIXED	0
NA12878	NA12878	INDEL	NO_VARIATION	0
NA12878	NA12878	INDEL	SNP	0
NA12878	NA12878	INDEL	MNP	0
NA12878	NA12878	INDEL	INDEL	0
NA12878	NA12878	INDEL	SYMBOLIC	0
NA12878	NA12878	INDEL	MIXED	0
NA12878	NA12878	SYMBOLIC	NO_VARIATION	0
NA12878	NA12878	SYMBOLIC	SNP	0
NA12878	NA12878	SYMBOLIC	MNP	0
NA12878	NA12878	SYMBOLIC	INDEL	0
NA12878	NA12878	SYMBOLIC	SYMBOLIC	0
NA12878	NA12878	SYMBOLIC	MIXED	0
NA12878	NA12878	MIXED	NO_VARIATION	0
NA12878	NA12878	MIXED	SNP	0
NA12878	NA12878	MIXED	MNP	0
NA12878	NA12878	MIXED	INDEL	0
NA12878	NA12878	MIXED	SYMBOLIC	0
NA12878	NA12878	MIXED	MIXED	0


